i,dt_segment_s,dt_residual_s_per_s,cumulative_dt_s
330,-9.81717352366458e-08,-9.817168309944026e-09,-3.239574842324012e-05
331,-9.817170822667795e-08,-9.817173335391565e-09,-3.24939201314668e-05
332,-9.81717438296208e-08,-9.817175430532595e-09,-3.2592091875296415e-05
333,-9.817171027013136e-08,-9.817166623493676e-09,-3.269026358556655e-05
334,-9.817174696785216e-08,-9.817182770076756e-09,-3.27884353325344e-05
335,-9.817174605684594e-08,-9.817166441292432e-09,-3.288660707859125e-05
336,-9.817170972029918e-08,-9.817175502767403e-09,-3.298477878831155e-05
337,-9.817174363263689e-08,-9.817173223759976e-09,-3.308295053194419e-05
338,-9.817173975748454e-08,-9.817174727736935e-09,-3.3181122271701674e-05
339,-9.817179883441092e-08,-9.817185039145248e-09,-3.327929407053609e-05
340,-9.817180003573714e-08,-9.817174968002178e-09,-3.3377465870571825e-05
341,-9.817181542285367e-08,-9.817188116568558e-09,-3.347563768599468e-05
342,-9.817182006145036e-08,-9.817175895721512e-09,-3.357380950605613e-05
343,-9.817181908514328e-08,-9.817187921307145e-09,-3.3671981325141274e-05
344,-9.817187485612289e-08,-9.817187049917431e-09,-3.3770153199997397e-05
345,-9.817184498424133e-08,-9.817181946930834e-09,-3.3868325044981635e-05
346,-9.817185739431461e-08,-9.817189531932087e-09,-3.396649690237595e-05
347,-9.817182432788363e-08,-9.817175333644642e-09,-3.406466872670383e-05
348,-9.817183482604046e-08,-9.817191631563451e-09,-3.4162840561529874e-05
349,-9.817183409530451e-08,-9.817175187497449e-09,-3.426101239562518e-05
350,-9.81717861264804e-08,-9.817182037798633e-09,-3.435918418175166e-05
351,-9.817175596421343e-08,-9.817169155044054e-09,-3.445735593771587e-05
352,-9.817161266416124e-08,-9.817153377788194e-09,-3.455552755038003e-05
353,-9.81715628529678e-08,-9.817159192805366e-09,-3.4653699113233e-05
354,-9.817153249196743e-08,-9.817147305588118e-09,-3.475187064572496e-05
355,-9.817150815289987e-08,-9.817154324991857e-09,-3.485004215387786e-05
356,-9.817153994149096e-08,-9.817153663306335e-09,-3.494821369381935e-05
357,-9.817151723078043e-08,-9.817149782849751e-09,-3.5046385211050134e-05
358,-9.817156692924197e-08,-9.817163602998644e-09,-3.5144556777979374e-05
359,-9.817156031716075e-08,-9.817148460433507e-09,-3.524272833829653e-05
360,-9.817152670614126e-08,-9.817156880794747e-09,-3.534089986500267e-05
